City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
390,Jocotan,GT,84.76,clear sky,14.8167,-89.3833,Hacienda Papa Milo
398,Galeana,MX,71.02,overcast clouds,24.8333,-100.0667,Mirador
399,Rondonopolis,BR,72.72,clear sky,-16.4708,-54.6356,Serras Hotel
400,Hambantota,LK,75.54,scattered clouds,6.1241,81.1185,Bungalow 63
401,Kijang,KR,80.33,light rain,35.2442,129.2139,Samyang Beach Villa
402,Srednekolymsk,RU,75.4,overcast clouds,67.45,153.6833,
407,Grand Gaube,MU,70.2,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
409,Nizwa,OM,78.69,light rain,22.9333,57.5333,Orient Apartments
410,Langham,CA,75.04,overcast clouds,52.3668,-106.9679,Shady Rest Motel
411,Mbalmayo,CM,70.12,overcast clouds,3.5167,11.5,Hôtel les Nouveaux Jardins Des Tropiques
412,Taman,RU,72.84,overcast clouds,45.2117,36.7161,Staryy Gorod G. Taman'
414,Kashan,IR,82.36,clear sky,33.9831,51.4364,Manouchehri Traditional House
415,Cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
416,North Bend,US,73.24,scattered clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
419,Port-Gentil,GA,72.97,broken clouds,-0.7193,8.7815,Fengshui Residence
420,Magadan,RU,78.53,broken clouds,59.5667,150.8,Magadan hotel
422,Namatanai,PG,84.81,light rain,-3.6667,152.4333,Seagulls Inn Namatani
423,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
426,Vieques,PR,82.44,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
427,Riberalta,BO,79.47,broken clouds,-10.9833,-66.1,Hotel Colonial
428,Zhanaozen,KZ,72.25,clear sky,43.3,52.8,K.korabay 28A
429,Pathein,MM,78.33,overcast clouds,16.7833,94.7333,Pathein Hotel
430,Yining,CN,84.99,clear sky,29.0361,114.5636,Xiushui Hotel
431,Vao,NC,74.61,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
437,Katangli,RU,78.69,few clouds,51.7102,143.2326,
441,Cabedelo,BR,72.27,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
443,Umm Lajj,SA,83.52,clear sky,25.0213,37.2685,Moon light Furnished Units
444,Palmer,US,74.75,scattered clouds,42.1584,-72.3287,Wedgewood Motel
447,San Lorenzo,PY,74.59,broken clouds,-25.3333,-57.5333,Canarias Hotel
452,Dong Hoi,VN,80.15,light rain,17.4833,106.6,Nam Long Hotel
453,Saquena,PE,73.06,clear sky,-4.6667,-73.5167,
454,Korla,CN,81.52,overcast clouds,41.7597,86.1469,Gulisitan Hotel
457,Bonthe,SL,75.99,light rain,7.5264,-12.505,Bonthe Holiday Village
458,Pacific Grove,US,81.55,clear sky,36.6177,-121.9166,Lovers Point Inn
459,Kumba,CM,71.19,overcast clouds,4.6363,9.4469,El Bethel Hotel
460,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
461,Sal Rei,CV,73.71,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
465,Duluth,US,81.18,scattered clouds,46.7833,-92.1066,South Pier Inn
466,Loiza,PR,82.4,scattered clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
469,Kalianget,ID,79.43,few clouds,-7.05,113.9333,Pesanggrahan Garam
472,Gonen,TR,71.02,clear sky,40.1049,27.654,Gönen Palmiye Butik Pansiyon
473,Sudak,UA,73.38,overcast clouds,44.85,34.9667,Solari Beach
478,Milkovo,RU,82.24,broken clouds,54.7167,158.6167,"Hotel ""Geologist"""
481,Wanning,CN,84.76,overcast clouds,18.8003,110.3967,Paradise Hotel
482,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
483,Valleyview,CA,71.64,scattered clouds,55.0667,-117.2859,Paradise Inn & Suites
485,Guarapari,BR,71.89,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
486,Tautira,PF,78.46,clear sky,-17.7333,-149.15,Pension Oaoa
488,Sakakah,SA,80.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
490,Fukue,JP,80.96,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
491,Boende,CD,71.71,scattered clouds,-0.2167,20.8667,
494,Chirongui,YT,76.93,clear sky,-12.9319,45.1483,La Villa Mahatsara
495,Bandarbeyla,SO,76.37,scattered clouds,9.4942,50.8122,JABIR HOTEL
497,Hamilton,US,82.81,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
498,Calabozo,VE,75.4,few clouds,8.9242,-67.4293,Hotel Giardini
499,Itarema,BR,76.37,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
500,Weligama,LK,78.58,broken clouds,5.9667,80.4167,Weligama Bay Resort
501,Kavaratti,IN,81.41,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
503,Conde,BR,71.06,light rain,-7.2597,-34.9075,Pousada Beija Flor
507,Mamallapuram,IN,82.45,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
508,Guatire,VE,72.09,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
510,Kholodnyy,RU,80.53,clear sky,62.7167,147.95,
511,Mahibadhoo,MV,82.89,overcast clouds,3.7833,72.9667,Omadhoo Inn
516,Sao Jose Da Coroa Grande,BR,74.77,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
517,Mantua,IT,72.55,clear sky,45.1667,10.7833,Hotel la Favorita
519,Ndele,CF,70.68,overcast clouds,8.4109,20.6473,
520,Kouango,CF,70.66,light rain,4.9934,19.9619,
524,Presidente Medici,BR,74.66,clear sky,-11.1753,-61.9014,Oliveira Palace Hotel
525,Lambarene,GA,70.5,broken clouds,-0.7001,10.2406,Le Refuge
527,Navalmoral De La Mata,ES,73.49,clear sky,39.8916,-5.5406,Hotel Moya S A
532,Gimli,CA,73.42,overcast clouds,50.6336,-96.9907,Lakeview Gimli Resort
537,Dukat,RU,83.41,overcast clouds,62.55,155.55,
538,Ajdabiya,LY,79.52,clear sky,30.7554,20.2263,Almadina Hotel
539,Haines Junction,CA,71.55,few clouds,60.7522,-137.5108,Parkside Inn
543,Ostuacan,MX,74.28,overcast clouds,17.4167,-93.3,HACIENDA JUAREZ
545,Tateyama,JP,82.09,scattered clouds,34.9833,139.8667,Tateyama Seaside Hotel
546,Gogrial,SS,71.85,light rain,8.5332,28.1004,
547,Erenhot,CN,71.78,scattered clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
550,Conceicao Do Araguaia,BR,77.14,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
551,Luxor,EG,84.25,clear sky,25.6989,32.6421,Iberotel Luxor
552,Zhob,PK,78.35,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
553,Kulhudhuffushi,MV,81.86,broken clouds,6.6221,73.07,Haajy Guest House 1
555,Ahuimanu,US,83.91,light rain,21.4447,-157.8378,Paradise Bay Resort
556,Jinxiang,CN,84.83,few clouds,27.4327,120.6062,Wolong Village
558,Simao,CN,71.1,scattered clouds,22.7886,100.9748,Changyu Hotel
559,Kalmunai,LK,81.84,overcast clouds,7.4167,81.8167,VS Villa
560,Pasni,PK,83.68,light rain,25.2631,63.471,Kashmiri Hotal
561,Umm Kaddadah,SD,82.15,scattered clouds,13.6017,26.6876,
564,Ugoofaaru,MV,82.02,overcast clouds,5.6667,73.0,Ungoofaaru Inn
566,Harper,LR,75.85,overcast clouds,4.375,-7.7169,Screensaver
567,Lethem,GY,75.67,scattered clouds,3.3803,-59.7968,Savannah Inn
568,Erzin,TR,73.6,scattered clouds,36.9559,36.2,Artemis Otel
570,Lazaro Cardenas,MX,82.35,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
572,Seoul,KR,80.2,mist,37.5683,126.9778,Lotte Hotel Seoul
574,Waddan,LY,81.16,clear sky,29.1614,16.139,محل الشريف محمد العايب
578,Tiassale,CI,72.7,overcast clouds,5.8983,-4.8283,Hotel des hotes
580,Puerto Ayacucho,VE,76.51,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
593,Pochutla,MX,82.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
594,Port Blair,IN,78.84,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
595,Martapura,ID,80.69,few clouds,-3.4167,114.85,Montana Hotel Syariah
599,Palmas,BR,76.87,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
601,Makurdi,NG,73.72,light rain,7.7411,8.5121,Doo Palace Hotel
603,Carcassonne,FR,74.23,clear sky,43.25,2.1667,Domaine les Magasins
604,Long Branch,US,74.25,broken clouds,40.3043,-73.9924,Ocean Place Resort & Spa
607,Dongsheng,CN,78.26,clear sky,39.8161,109.9776,Crowne Plaza Ordos
614,Tual,ID,79.05,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
615,Navadwip,IN,83.95,overcast clouds,23.4167,88.3667,Conch Building
617,Qinzhou,CN,83.14,heavy intensity rain,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
627,Pedasi,PA,78.06,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
629,Methana,GR,81.55,clear sky,37.5823,23.3914,Galaxy Hotel
630,Coahuayana,MX,82.49,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
634,Zaysan,KZ,71.78,overcast clouds,47.4667,84.8667,Ерлан үй
637,Hailar,CN,71.94,scattered clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
638,Santa Rosa,PH,82.11,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
642,Along,IN,78.62,overcast clouds,28.1667,94.7667,Hotel West
646,Sambava,MG,70.3,overcast clouds,-14.2667,50.1667,Melrose
647,Mareeba,AU,73.67,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
648,Muroto,JP,78.21,light rain,33.2833,134.15,Oota Ryokan
649,Hay River,CA,76.98,broken clouds,60.8156,-115.7999,Ptarmigan Inn
650,Puerto Quijarro,BO,72.82,clear sky,-17.7833,-57.7667,Hotel palance
651,Maragogi,BR,74.5,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
654,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
656,Grand Baie,MU,70.27,light rain,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
660,Pingzhuang,CN,82.11,overcast clouds,42.0372,119.2889,Haoke Guest House
663,Ziniare,BF,77.04,overcast clouds,12.5822,-1.2983,Privilège Hôtel de Ziniaré
665,Bari,IT,77.88,clear sky,41.1177,16.8512,Mercure Villa Romanazzi Carducci Bari
670,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
671,Ola,RU,79.14,broken clouds,59.5833,151.2833,
